substance_ID,assignment,substances,PubChemCID,CAS,synonyms,chemical,pharmco,street_smarts,trending,new_tags,AI_tags,pronunciation,sixwords,vernacular,notes,smiles1,status,R1 complete,tags,opioid,stimulant,psychedelic,cannabinoid,sedative,steroid,category
11.0,Nate,1-phenethyl-4-propionyloxypiperidine,91725431.0,1462260-87-2,"1-P-4-POP; 4-Piperidinol, 1-(2-phenylethyl)-, 4-propanoate",fentanyl impurity,human effects uncertain,,emerging,,"opioid, fentanyl impurity, GCMS breakdown product",,Breakdown molecule from fentanyl,,,CCC(=O)OC1CCN(CC1)CCC2=CC=CC=C2,tagging done,to do,fentanyl impurity;human effects uncertain;emerging;,,,,,,,other
12.0,Erin,1-phenyl-1-propanamine,18054.0,2941-20-0,,"impurity, methamphetamine impurity",human effects uncertain,,emerging,,"amphetamine & derivatives, stimulant, upper",,"meth production leftover, unknown effects",,Impurity from P2P meth production process. Related to 1-phenyl-2-propanone which is more commonly seen in P2P meth. We see it most often in North Carolina. unknown human effects.,CCC(C1=CC=CC=C1)N,finalize,done,impurity;methamphetamine impurity;human effects uncertain;emerging;,,,,,,,other
13.0,Erin,1-phenyl-2-propanol,94185.0,698-87-3,,"impurity, methamphetamine impurity",human effects uncertain,,"emerging, uncommon",,,,"meth production leftover, unknown effects",,Impurity from P2P meth production. Related to 1-phenyl-2-propanone which is more commonly seen in P2P meth. unknown human effects.,CC(CC1=CC=CC=C1)O,finalize,done,impurity;methamphetamine impurity;human effects uncertain;emerging;uncommon;,,,,,,,other
14.0,Nate,1-piperidino-1-cyclohexene,18118.0,10/4/2981,1-Cyclohex-1-enyl-piperidine,GCMS breakdown product,human effects uncertain,,,phencyclidine impurity,"impurity, fentanyl impurity, GCMS breakdown product",,Breakdown product from PCP (phencyclidine),,,C1CCN(CC1)C2=CCCCC2,tagging done,to do,GCMS breakdown product;human effects uncertain;phencyclidine impurity;,,,,,,,other
15.0,Nab,1-Piperidinocyclohexanecarbonitrile,62529.0,3867-15-0,PCC;cyclohexanecarbonitrile;1-(1-piperidinyl),impurity,human effects uncertain,,historically popular,precursor,"impurity, GCMS breakdown product",,"PCP raw material, unclear if active",,Historically found as an impurity in PCP. Schedule II in USA because it is an immediate precursor of PCP. Unclear if has psychoactive properties,C1CCC(CC1)(C#N)N2CCCCC2,finalize,done,impurity;human effects uncertain;historically popular;precursor;,,,,,,,other
16.0,Nate,1-propionyl-4-anilinopiperidine,21951513.0,1462260-85-0,"1-[4-(Phenylamino)-1-piperidinyl]-1-propanone; 
1-Propanone, 1-[4-(phenylamino)-1-piperidinyl]-","fentanyl precursor, fentanyl impurity, opioid",human effects uncertain,,,,"opioid, fentanyl precursor, fentanyl impurity",,Fentanyl pre-cursor material,,,CCC(=O)N1CCC(CC1)NC2=CC=CC=C2,tagging done,to do,fentanyl impurity;fentanyl precursor;opioid;human effects uncertain;,opioid,,,,,,opioid
17.0,,"2,2,6,6-tetramethyl-4-piperidinol",75471.0,,,,,,,,,,,,,CC1(CC(CC(N1)(C)C)O)C,to do,to do,,,,,,,,
18.0,,"2,4,5-Trimethoxyamphetamine",31014.0,,,,,,,,,,,,,CC(CC1=CC(=C(C=C1OC)OC)OC)N,to do,to do,,,,,,,,
19.0,,2-bromo-4'-methylpropiophenone,2734063.0,,,,,,,,,,,,,CC1=CC=C(C=C1)C(=O)C(C)Br,,,,,,,,,,
20.0,Erin,2-fluoro deschloroketamine,13771619.0,,2-FDCK,"impurity, ketamine impurity","dissociative anesthetic, human effects uncertain",downer,uncommon,,"ketamine impurity, dissociative, GCMS breakdown product",,"ketamine-like drug, no safety studies",,designer drug created to be similar to ketamine.  dissociative anesthetic properties. limited research but appears similar to ketamine.,CNC1(CCCCC1=O)C2=CC=CC=C2F.Cl,finalize,done,impurity;ketamine impurity;dissociative anesthetic;human effects uncertain;downer;uncommon;,,,,,,,other
21.0,Erin,2-Fluoro-2-oxo PCE,168323041.0,,2-FDCNEK;2-fluoro DCNEK;2-fluoro NENDCK;2-(ethylamino)-2-(2-fluorophenyl)-cyclohexanone,,"anesthetic, dissociative anesthetic, dissociative, psychedelic, human effects uncertain","active agent, downer","emerging, uncommon",,"ketamine impurity, dissociative, GCMS breakdown product",,"ketamine-like drug, no safety studies",CanKET,designer drug created to be similar to ketamine.  dissociative anesthetic properties. limited research but appears similar to ketamine. more info here: https://www.cahma.org.au/article/safer-using-canket/,O=C1CCCCC1(NCC)C2=CC=CC=C2F.Cl,finalize,done,anesthetic;dissociative;dissociative anesthetic;human effects uncertain;psychedelic;active agent;downer;emerging;uncommon;,,,psychedelic,,,,psychedelic
22.0,Erin,2-fluoromethamphetamine,24257263.0,1017176-48-5,2-FMA,stimulant,human effects uncertain,"active agent, upper","emerging, uncommon",nootropic,"amphetamine & derivatives, stimulant, upper",,"upper, may increase attention/focus",2-FMA,"We see this very rarely. Designer stimulant, compared to Vyvanse with productivity/focus benefits. Main mechanism of action believed to be vianorepinephrine reuptake inhibition.",CC(CC1=CC=CC=C1F)NC,finalize,done,stimulant;human effects uncertain;active agent;upper;emerging;uncommon;nootropic;,,stimulant,,,,,stimulant
23.0,Erin,"2-methyl-1,2,3,4-tetrahydro-b-carboline",121896.0,,2-MTHBC;2-methyl Tetrahydro-β-carboline;2-methyl THBC,"impurity, plant grown","psychedelic, human effects uncertain",,uncommon,DMT impurity,"psychedelic, hallucinogen, tryptamine",,similar to DMT/ayahuasca,,"1-methyl-1,2,3,4-tetrahydro-β-carboline, found in DMT (active ingredient in ayahuasca) in nature and moreso in synthesis. Psychotropic and side effects not studied or even anecdotally clear, but appears to have overlapping psychedelic effects with DMT.",CN(C1)CCC2=C1NC3=C2C=CC=C3,finalize,done,impurity;plant grown;human effects uncertain;psychedelic;uncommon;DMT impurity;,,,psychedelic,,,,psychedelic
24.0,,2-methylmethcathinone,56603536.0,,,,,,,,,,,,,CC1=CC=CC=C1C(=O)C(C)NC,to do,to do,,,,,,,,
25.0,Erin,2-oxo-PCE,132989542.0,6740-82-5,"2-DCNEK, O-PCE, deschloro-N-ethyl-ketamine, eticyclidone",,"hallucinogen, psychedelic","active agent, downer",,,"ketamine impurity, dissociative, GCMS breakdown product",,ketamine-like designer drug,,"a newer dissociative anesthetic often sold as ketamine, specifics on its effects unknown",CCNC1(CCCCC1=O)C2=CC=CC=C2,finalize,done,hallucinogen;psychedelic;active agent;downer;,,,psychedelic,,,,psychedelic
26.0,,2-phenylacetamide,7680.0,,,,,,,,,,,,,C1=CC=C(C=C1)CC(=O)N,to do,to do,,,,,,,,
27.0,,2-phenylacetophenone,9948.0,,,,,,,,,,,,,C1=CC=C(C=C1)CC(=O)C2=CC=CC=C2,to do,to do,,,,,,,,
28.0,,25C-NBOMe,46856354.0,,,,,,,,,,,,,COC1=CC=CC=C1CNCCC2=CC(=C(C=C2OC)Cl)OC,to do,to do,,,,,,,,
29.0,Erin,2C-B,98527.0,66142-81-2,"4-Bromo-2,5-dimethoxyphenethylamine","stimulant, synthetic","hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down","emerging, international relevance",enactogen,"psychedelic, hallucinogen, international relevance",,"hallucinogen like mescaline, upper",Nexus,Phenylethylamine sometimes sold as MDMA because similar effects at low doses. may also have stimulant effects. First synthesized in 1974 by Dr. Alexander Shulgin.,COC1=CC(=C(C=C1CCN)OC)Br,finalize,done,stimulant;synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;emerging;international relevance;enactogen;,,stimulant,psychedelic,,,,"psychedelic,stimulant"
30.0,Erin,2C-D,135740.0,24333-19-5,,"stimulant, synthetic","hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down",emerging,enactogen,"psychedelic, hallucinogen, uncommon",,hallucinogen like mescaline or Nexus,,"Phenylethylamine in 2C family, first synthesized and researched in 1970s, effects unknown, but may potentiate effects of other drugs simultaneously consumed",CC1=CC(=C(C=C1OC)CCN)OCÂ Â,finalize,done,stimulant;synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;emerging;enactogen;,,stimulant,psychedelic,,,,"psychedelic,stimulant"
31.0,Erin,2C-H,76632.0,3600-86-0,"2,5-Dimethoxyphenethylamine","stimulant, synthetic","hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down",emerging,enactogen,"psychedelic, hallucinogen, uncommon",,"related to mescaline, possible hallucinogen",,"Phenylethylamine in 2C family first synthesized 1932, precursor in synthesis of other 2Cs, and may or may not be psychoactive",COC1=CC(=C(C=C1)OC)CCN,finalize,done,stimulant;synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;emerging;enactogen;,,stimulant,psychedelic,,,,"psychedelic,stimulant"
32.0,,2C-I,10267191.0,,,,,,,,,,,,,COC1=CC(=C(C=C1CCN)OC)I,to do,to do,,,,,,,,
33.0,,"3,4,5-trimethyoxybenzaldehyde",6858.0,,,,,,,,,,,,,COC1=CC(=CC(=C1OC)OC)C=O,to do,to do,,,,,,,,
34.0,,"3,4-MDiPA",3057995.0,,,,,,,,,,,,,CC(C)NC(C)CC1=CC2=C(C=C1)OCO2.Cl,,,,,,,,,,
35.0,Erin,"3,4-MDMA",1615.0,42542-10-9,"3,4-Methylenedioxymethylamphetamine, ecstasy",synthetic,"hallucinogen, psychedelic",active agent,"established, historically popular, international relevance",,"MDMA impurity, impurity, stimulant",,pure ecstasy,XTC; ecstasy; Molly,,CC(CC1=CC2=C(C=C1)OCO2)NC,finalize,done,synthetic;hallucinogen;psychedelic;active agent;established;historically popular;international relevance;,,,psychedelic,,,,psychedelic
36.0,,"3,4-methylenedioxy-N,N-dimethylamphetamine",551630.0,,,,,,,,,,,,,CC(CC1=CC2=C(C=C1)OCO2)N(C)C,to do,to do,,,,,,,,
37.0,Erin,"3,4-methylenedioxy-N-benzylcathinone",91699622.0,1823274-68-5,BMDP;benzylone,"stimulant, substituted cathinone",human effects uncertain,"active agent, upper",uncommon,,"substituted cathinone, stimulant, upper",,Low potency upper,cyputylone,low potency substituted cathinone found mixed with other drugs,CC(C(=O)C1=CC2=C(C=C1)OCO2)NCC3=CC=CC=C3,finalize,done,stimulant;substituted cathinone;human effects uncertain;active agent;upper;uncommon;,,stimulant,,,,,stimulant
38.0,Erin,"3,4-Methylenedioxy-α-Cyclohexylaminopropiophenone",485302082.0,,N-cyclohexyl Methylone,"stimulant, substituted cathinone",human effects uncertain,"active agent, upper",uncommon,,"substituted cathinone, stimulant, synthetic",,"Designer drug sold online, upper",,"designer stimulant, cathinone",O=C(C(C)NC1CCCCC1)C2=CC(OCO3)=C3C=C2.Cl,finalize,done,stimulant;substituted cathinone;human effects uncertain;active agent;upper;uncommon;,,stimulant,,,,,stimulant
39.0,,"3,4-Methylenedioxy-α-Isopropylaminobutiophenone",165361679.0,,,,,,,,,,,,,CCC(C(=O)C1=CC2=C(C=C1)OCO2)NC(C)C.Cl,to do,to do,,,,,,,,
40.0,,"3,4-Methylenedioxy-α-Propylaminobutiophenone",122129921.0,,,,,,,,,,,,,CCCNC(CC)C(=O)C1=CC2=C(C=C1)OCO2.Cl,,,,,,,,,,
41.0,,"3,4-methylenedioxypropiophenone",95682.0,,,,,,,,,,,,,CCC(=O)C1=CC2=C(C=C1)OCO2,to do,to do,,,,,,,,
42.0,Erin,3-chlorophenmetrazine,43350791.0,1097796-78-5,3-CPM,"stimulant, synthetic",human effects uncertain,"active agent, upper",emerging,substituted phenylmorpholine,"amphetamine & derivatives, stimulant, upper",,"upper, type of high unclear",3-CPM,"monoamine - stimulates dopamine and norepinephrine more than seratonin, similar to 3-FPM but less potent",CC1C(OCCN1)C2=CC(=CC=C2)Cl,finalize,done,stimulant;synthetic;human effects uncertain;active agent;upper;emerging;substituted phenylmorpholine;,,stimulant,,,,,stimulant
43.0,Erin,3-fluoro-PCP,398433.0,89156-99-0,3F-PCP,synthetic,"hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down",uncommon,PCP-related,"ketamine impurity, dissociative, GCMS breakdown product",,"designer upper, similar to PCP/ketamine",,"novel hallucinogen/dissociative designer drug from acrylcyclohexylamine family developed in 2020. described as smooth and euphoric, though details of psychotropic effects not well-understood",C1CCC(CC1)(C2=CC(=CC=C2)F)N3CCCCC3,finalize,done,synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;uncommon;PCP-related;,,,psychedelic,,,,psychedelic
44.0,Erin,3-hydroxy-PCP,133277.0,79787-43-2,3-HO-PCP,synthetic,"hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down",uncommon,PCP-related,"ketamine impurity, dissociative, GCMS breakdown product",,"designer upper, similar to PCP/ketamine",,"novel hallucinogen/dissociative designer drug from acrylcyclohexamine family, though has affinity for opioid receptors unlike PCP and other acrylcyclohexamines, some reports of more cravings after regular use compared to other acrylcyclohexamines",C1CCC(CC1)(C2=CC(=CC=C2)O)N3CCCCC3,finalize,done,synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;uncommon;PCP-related;,,,psychedelic,,,,psychedelic
45.0,Nab,3-methoxy-PCE,57461569.0,1364933-80-1,3-MeO-PCE;3-methoxyeticyclidine,"NMDA receptor antagonist, synthetic","hallucinogen, psychedelic, human effects uncertain",upper,emerging,,"ketamine impurity, dissociative, GCMS breakdown product",,Designer drug similar to PCP,,,CCNC1(CCCCC1)C2=CC(=CC=C2)OC,to do,to do,NMDA receptor antagonist;synthetic;hallucinogen;human effects uncertain;psychedelic;upper;emerging;,,,psychedelic,,,,
46.0,Erin,3-Methoxy-PCP,129318255.0,91164-58-8,,synthetic,"hallucinogen, psychedelic, human effects uncertain","active agent, up-and-down",uncommon,PCP-related,"ketamine impurity, dissociative, GCMS breakdown product",,"designer upper, similar to PCP/ketamine",,"novel hallucinogen/dissociative designer drug from acrylcyclohexylamine, details of psychotropic effects unknown but reports of more mental clarity/euphoria than PCP",COC1=CC=CC(=C1)C2(CCCCC2)N3CCCCC3.ClÂ Â,finalize,done,synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;up-and-down;uncommon;PCP-related;,,,psychedelic,,,,psychedelic
47.0,Nab,3-methylmethcathinone,71741532.0,,metaphedrone; 3-MMC,"monoamine reuptake inhibitor, stimulant, substituted cathinone, synthetic",human effects uncertain,upper,emerging,,,,K2/Spice type upper,K2; Spice,Designer drug. Possibly stronger amphetamine-like stimulant properties compared to mephedrone. Concentration in blood plasma drops below detectability 24 hours after oral ingestion. https://en.m.wikipedia.org/wiki/3-Methylmethcathinone,CC1=CC(=CC=C1)C(=O)C(C)NC,finalize,done,monoamine reuptake inhibitor;stimulant;substituted cathinone;synthetic;human effects uncertain;upper;emerging;,,stimulant,,,,,stimulant
48.0,Nate,3-monoacetylmorphine,5462504.0,,3-MAM; 3-acetylmorphine,"heroin impurity, impurity, opioid, weak opioid, semi-synthetic",analgesic,active agent,uncommon,,"heroin impurity, opioid, GCMS breakdown product",,weak heroin metabolite and impurity,,,CC(=O)OC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,tagging done,to do,heroin impurity;impurity;opioid;semi-synthetic;weak opioid;analgesic;active agent;uncommon;,opioid,,,,,,opioid
49.0,,4-acetoxy DET,24801867.0,,,,,,,,,,,,,CCN(CC)CCC1=CNC2=C1C(=CC=C2)OC(=O)C,to do,to do,,,,,,,,
50.0,Nab,4-acetoxy DMT,132988625.0,,,,"hallucinogen, psychedelic, human effects uncertain",,,,,,,,,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C.Cl,to do,to do,hallucinogen;human effects uncertain;psychedelic;,,,psychedelic,,,,
51.0,Nate,4-Anilino-1-Boc-piperidine,1491502.0,125541-22-2,4-ANBocP; N-Boc-4-AP; 1-Boc-4-(Phenylamino)piperidine; 1-Boc-4-(Phenylamino)piperidine,"contaminant, fentanyl precursor, impurity, opioid, synthetic",human effects uncertain,,,,"fentanyl precursor, fentanyl impurity, synthetic",,fentanyl raw material and contaminant,,,CC(C)(C)OC(=O)N1CCC(CC1)NC2=CC=CC=C2,tagging done,to do,contaminant;fentanyl precursor;impurity;opioid;synthetic;human effects uncertain;,opioid,,,,,,opioid
52.0,Nate,4-anilinopiperidine,89982.0,23056-29-3,N-phenylpiperidin-4-amine; N-phenyl-4-piperidinamine; 4-AP,"contaminant, fentanyl precursor, fentanyl impurity, opioid, synthetic",human effects uncertain,,,,"fentanyl precursor, fentanyl impurity, synthetic",,fentanyl raw material and contaminant,,irreplaceable precursor for synthesizing fentanyl and fentanyl analogues (https://www.federalregister.gov/documents/2023/10/31/2023-23927/designation-of-halides-of-4-anilinopiperidine-as-list-i-chemicals),C1CNCCC1NC2=CC=CC=C2,tagging done,to do,contaminant;fentanyl impurity;fentanyl precursor;opioid;synthetic;human effects uncertain;,opioid,,,,,,opioid
53.0,Nate,4-ANPP,88890.0,21409-26-7,4-aminophenyl-1-phenethylpiperidine;4-anilino-N-phenethylpiperidine;despropionyl fentanyl;4-AP;ANPP;depropionylfentanyl,"contaminant, fentanyl precursor, fentanyl impurity, impurity, opioid, synthetic",,,established,not psychoactive,"fentanyl precursor, fentanyl impurity, opioid",for-A-N-P-P,leftover/inactive part of fentanyl production,,Well-established raw material used for making street fentanyl.,C1(NC2CCN(CCC3=CC=CC=C3)CC2)=CC=CC=C1,finalize,done,contaminant;fentanyl impurity;fentanyl precursor;impurity;opioid;synthetic;established;not psychoactive;,opioid,,,,,,opioid
54.0,Nate,4-benzylpyrimidine,598148.0,,4-(phenylmethyl)-pyrimidine,impurity,human effects uncertain,,,,,,potential impurity from manufacturing amphetamines,,potential by-products from synthesizing amphetamine and stimulants,C1=CC=C(C=C1)CC2=NC=NC=C2,tagging done,to do,impurity;human effects uncertain;,,,,,,,other
55.0,,"4-bromo-2,5-Dimethoxyamphetamine",62065.0,,,,,,,,,,,,,CC(CC1=CC(=C(C=C1OC)Br)OC)N,to do,to do,,,,,,,,
56.0,,"4-chloro-2,5-DMA",51358335.0,,,,,,,,,,,,,CC(CC1=CC(=C(C=C1OC)Cl)OC)N.Cl,to do,to do,,,,,,,,
57.0,Erin,4-chloromethcathinone,82100418.0,1225843-86-6,4-CMC;Clephedrone,"stimulant, substituted cathinone, synthetic",human effects uncertain,"active agent, upper",uncommon,,"substituted cathinone, stimulant, synthetic",,Designer upper,,"substituted cathinone (bath salt type stimulant), limited/no human studies",CC(C(=O)C1=CC=C(C=C1)Cl)NC,finalize,done,stimulant;substituted cathinone;synthetic;human effects uncertain;active agent;upper;uncommon;,,stimulant,,,,,stimulant
58.0,,4-fluoro ABUTINACA,118796478.0,,,,,,,,,,,,,C1C2CC3CC1CC(C2)(C3)NC(=O)C4=NN(C5=CC=CC=C54)CCCCF,to do,to do,,,,,,,,
59.0,,4-fluoro-3-methyl-α-PVP,167713284.0,,,,,,,,,,,,,CCCC(CC1=CC(=C(C=C1)F)C)N2CCCC2,to do,to do,,,,,,,,
60.0,Erin,4-fluoro-alpha-PHP,132989300.0,2230706-09-7,4F-PHP,"stimulant, substituted cathinone, synthetic",human effects uncertain,"active agent, upper",uncommon,,"substituted cathinone, stimulant, synthetic",,Designer upper,,"substituted cathinone (bath salt type stimulant), limited/no human studies. entered market around 2017",CCCCC(C(=O)C1=CC=C(C=C1)F)N2CCCC2,finalize,done,stimulant;substituted cathinone;synthetic;human effects uncertain;active agent;upper;uncommon;,,stimulant,,,,,stimulant
61.0,Erin,4-fluoromethcathinone,49853406.0,447-40-5,4-FMC;Flephedrone,"stimulant, substituted cathinone, synthetic",human effects uncertain,"active agent, upper",established,,"substituted cathinone, stimulant, upper",,Designer upper since 2008,flephedrone;4-FMC,"well-established substituted cathinone (bath salt type stimulant), limited/no human studies. entered market around 2008",CC(C(=O)C1=CC=C(C=C1)F)NC,finalize,done,stimulant;substituted cathinone;synthetic;human effects uncertain;active agent;upper;established;,,stimulant,,,,,stimulant
62.0,Erin,4-Fluoromethylphenidate,52944002.0,1253910-15-4,4-FMPH;4F-MPH,"stimulant, synthetic",human effects uncertain,"active agent, upper",uncommon,,"amphetamine & derivatives, stimulant, research chemical",,"strong ritalin-like upper, increases focus",,"Investigated as a non-habit forming substitute of cocaine, but schedule I. Used for focus/performance enhancement rather than recreation",COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=C(C=C2)FÂ Â,finalize,done,stimulant;synthetic;human effects uncertain;active agent;upper;uncommon;,,stimulant,,,,,stimulant
63.0,,4-fluorophenibut,103611.0,,,,,,,,,,,,,C1=CC(=CC=C1C(CC(=O)O)CN)F,to do,to do,,,,,,,,
64.0,Erin,4-hydroxy-MET,21786582.0,77872-41-4,4-HO-MET;4-HO-methylethyltryptamine;4-hydroxy-N-methyl-N-ethyltryptamine;metocin;methylcybin,synthetic,"hallucinogen, psychedelic, human effects uncertain",active agent,uncommon,tryptamine,"psychedelic, hallucinogen, tryptamine",,designer hallucinogen - similar to mushrooms,metocin;methylcybin,psychedelic first synthesized by Alexander Shulgin with properties similar to psilocybin/psilocin with more intense visuals,CCN(C)CCC1=CNC2=C1C(=CC=C2)OÂ Â,finalize,done,synthetic;hallucinogen;human effects uncertain;psychedelic;active agent;uncommon;tryptamine;,,,psychedelic,,,,psychedelic
65.0,Nab,4-methyl-5-phenylpyrimide,180586.0,,,"impurity, methamphetamine impurity, stimulant",human effects uncertain,,"historically popular, international relevance",,,,"meth production leftover, human effects unknown",,"""Leuckart-specific"" impurities could indicate that the Leuckart method of amphetamine and methamphetamine synthesis had been used. The Leuckart-specific impurities, 4-methyl-5-phenyl-pyrimidine and N-formyl-amphetamine, were identified in 79 per cent of the amphetamine samples"" in Norway in 1984. https://www.unodc.org/unodc/en/data-and-analysis/bulletin/bulletin_1984-01-01_1_page006.html",CC1=NC=NC=C1C2=CC=CC=C2,finalize,done,impurity;methamphetamine impurity;stimulant;human effects uncertain;historically popular;international relevance;,,stimulant,,,,,stimulant
66.0,Erin,4-Methylmethcathinone,45266826.0,1189805-46-6,mephedrone;4-MMC;4-methylephedrone,"stimulant, substituted cathinone, synthetic",human effects uncertain,"active agent, upper","historically popular, international relevance",,"substituted cathinone, stimulant, upper",,"commonly used stimulant, health effects unknown",M-CAT;drone;White Magic;meow meow;bubble,"Effects often compared to mix of cocaine-like and ecstacy-like.  Some overdose related deaths reported, though etiology not fully understood. both serotonergic and dopaminergic affects in animal models but limited human studies. synthesized 1929, popularized for recreational use starting early 2000s, made schedule I in US 2011",CC1=CC=C(C=C1)C(=O)C(C)NC,finalize,done,stimulant;substituted cathinone;synthetic;human effects uncertain;active agent;upper;historically popular;international relevance;,,stimulant,,,,,stimulant
67.0,,4-piperidone,33721.0,,,,,,,,,,,,,C1CNCCC1=O,to do,to do,,,,,,,,
68.0,,5-androstenediol,10634.0,,,,,,,,,,,,,CC12CCC3C(C1CCC2O)CC=C4C3(CCC(C4)O)C,,,,,,,,,,
69.0,,5-fluoro ADB,119025633.0,,,,,,,,,,,,,CC(C)(C)C(C(=O)OC)NC(=O)C1=NN(C2=CC=CC=C21)CCCCCF,,,,,,,,,,
70.0,Nab,5-fluoro-MDMB-PICA,129597835.0,1971007-88-1,,"cannabinoid, synthetic, synthetic cannabinoid","human effects uncertain, sedative","active agent, downer",uncommon,,"synthetic, synthetic cannabinoid, GCMS breakdown product",,"Synthetic weed, no human studies",spice;K2,"Synthetic cannabinoid now DEA Schedule I (2022), no human studies but anecdotally stronger than cannabinoids and tend to have stronger side effect profile with more mental health risks.",CC(C)(C)C(C(=O)OC)NC(=O)C1=CN(C2=CC=CC=C21)CCCCCF,finalize,done,cannabinoid;synthetic;synthetic cannabinoid;human effects uncertain;sedative;active agent;downer;uncommon;,,,,cannabinoid,sedative,,"cannabinoid,sedative"
