substance,PubChemCID,sixwords,notes,smiles1,category,Unnamed: 6,2CB impurity,DMT impurity,GCMS breakdown product,GHB impurity,LSD impurity,MDMA impurity,NMDA receptor antagonist,NSAID,PCP-related,ace inhibitor,active agent,addictive,adulterant,alcohol use treatment,alkaloid,alpha-2 agonist,amphetamine & derivatives,anabolic,analgesic,anesthetic,anti-anxiety,anti-cholinergic,anti-convulsant,anti-depressant,anti-depressant impurity,anti-malarial,anti-microbial,anti-parasitic,anti-psychotic,anti-tussive,antihistamine,appetite suppressant,artificial sweetener,arylcyclohexylamine,atypical benzodiazepine,barbiturate,benzodiazepine,benzodiazepine metabolite,birth control,bittering agent,bulking agent,cannabinoid,cocaine cutting agent,cocaine impurity,codeine derivative,common,concern,contaminant,cut,cyclohexamine,decongestant,decreasing,depressant,dissociative,dissociative anesthetic,distinctive taste/smell,diuretic,downer,emerging,empathogen,entactogen,entheogen,erectile dysfunction,established,expectorant,fentanyl,fentanyl analogue,fentanyl impurity,fentanyl precursor,fertility treatment,fertilizer,fever/pain reliever,flavor,hallucinogen,heroin impurity,historically popular,hormone,hormone therapy,human effects uncertain,human growth hormone,impurity,indole alkaloid,indoleamine,industrial chemical,inert,insecticide,international relevance,kappa opioid,keratolytic,ketamine impurity,likely pharmaceutical origin,linked to overdose deaths,local relevance,maintenance treatment,menopause drug,metabolite,methamphetamine impurity,monoamine reuptake inhibitor,muscle builder,muscle relaxant,neonicotinoid,night life,nitazene,nitazene impurity,nitazene metabolite,non-psychoactive,non-toxic,nootropic,norfentanyl impurity,not psychoactive,numbing agent,opioid,opioid agonist reversal,opioid antagonist,opioid use treatment,over the counter,paraben,phencyclidine impurity,phenethylamines,phosphodiesterase inhibitor,plant grown,plastic impurity,possibly psychoactive,potent benzodiazepine,precursor,prescription,preservative,psychedelic,psychoactive,quinazolinone,research chemical,reversal agent,sedative,semi-synthetic,serotonin-norepinephrine reuptake inhibitor,sleep aid,smooth muscle relaxant,solvent,steroid,stimulant,substituted cathinone,substituted phenylmorpholine,sugar,sugar alcohol,supplement,sweetener,synthesis byproduct,synthetic,synthetic cannabinoid,thienodiazepine,tianeptine impurity,topical/dermal,tramadol impurity,typtamine,uncertain,uncommon,up-and-down,upper,vasodilator,veterinary,vitamin,weak opioid,count
1-propionyl-4-anilinopiperidine,21951513.0,Fentanyl pre-cursor material,,CCC(=O)N1CCC(CC1)NC2=CC=CC=C2,opioid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2-fluoro deschloroketamine,13771619.0,"ketamine-like drug, no safety studies",designer drug created to be similar to ketamine.  dissociative anesthetic properties. limited research but appears similar to ketamine.,CNC1(CCCCC1=O)C2=CC=CC=C2F.Cl,other,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2-fluoromethamphetamine,24257263.0,"upper, may increase attention/focus","We see this very rarely. Designer stimulant, compared to Vyvanse with productivity/focus benefits. Main mechanism of action believed to be vianorepinephrine reuptake inhibition.",CC(CC1=CC=CC=C1F)NC,stimulant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"2-methyl-1,2,3,4-tetrahydro-b-carboline",121896.0,similar to DMT/ayahuasca,"1-methyl-1,2,3,4-tetrahydro-β-carboline, found in DMT (active ingredient in ayahuasca) in nature and moreso in synthesis. Psychotropic and side effects not studied or even anecdotally clear, but appears to have overlapping psychedelic effects with DMT.",CN(C1)CCC2=C1NC3=C2C=CC=C3,psychedelic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
2-oxo-PCE,132989542.0,ketamine-like designer drug,"a newer dissociative anesthetic often sold as ketamine, specifics on its effects unknown",CCNC1(CCCCC1=O)C2=CC=CC=C2,psychedelic,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2C-B,98527.0,"hallucinogen like mescaline, upper",Phenylethylamine sometimes sold as MDMA because similar effects at low doses. may also have stimulant effects. First synthesized in 1974 by Dr. Alexander Shulgin.,COC1=CC(=C(C=C1CCN)OC)Br,"psychedelic,stimulant",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38
2C-D,135740.0,hallucinogen like mescaline or Nexus,"Phenylethylamine in 2C family, first synthesized and researched in 1970s, effects unknown, but may potentiate effects of other drugs simultaneously consumed",CC1=CC(=C(C=C1OC)CCN)OCÂ Â,"psychedelic,stimulant",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2C-H,76632.0,"related to mescaline, possible hallucinogen","Phenylethylamine in 2C family first synthesized 1932, precursor in synthesis of other 2Cs, and may or may not be psychoactive",COC1=CC(=C(C=C1)OC)CCN,"psychedelic,stimulant",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"3,4-MDMA",1615.0,pure ecstasy,,CC(CC1=CC2=C(C=C1)OCO2)NC,psychedelic,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
"3,4-methylenedioxy-N-benzylcathinone",91699622.0,Low potency upper,low potency substituted cathinone found mixed with other drugs,CC(C(=O)C1=CC2=C(C=C1)OCO2)NCC3=CC=CC=C3,stimulant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
"3,4-Methylenedioxy-α-Cyclohexylaminopropiophenone",485302082.0,"Designer drug sold online, upper","designer stimulant, cathinone",O=C(C(C)NC1CCCCC1)C2=CC(OCO3)=C3C=C2.Cl,stimulant,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10
3-fluoro-PCP,398433.0,"designer upper, similar to PCP/ketamine","novel hallucinogen/dissociative designer drug from acrylcyclohexylamine family developed in 2020. described as smooth and euphoric, though details of psychotropic effects not well-understood",C1CCC(CC1)(C2=CC(=CC=C2)F)N3CCCCC3,psychedelic,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
3-hydroxy-PCP,133277.0,"designer upper, similar to PCP/ketamine","novel hallucinogen/dissociative designer drug from acrylcyclohexamine family, though has affinity for opioid receptors unlike PCP and other acrylcyclohexamines, some reports of more cravings after regular use compared to other acrylcyclohexamines",C1CCC(CC1)(C2=CC(=CC=C2)O)N3CCCCC3,psychedelic,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4
3-methoxy-PCE,57461569.0,Designer drug similar to PCP,,CCNC1(CCCCC1)C2=CC(=CC=C2)OC,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3-methylmethcathinone,71741532.0,K2/Spice type upper,Designer drug. Possibly stronger amphetamine-like stimulant properties compared to mephedrone. Concentration in blood plasma drops below detectability 24 hours after oral ingestion. https://en.m.wikipedia.org/wiki/3-Methylmethcathinone,CC1=CC(=CC=C1)C(=O)C(C)NC,stimulant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
3-monoacetylmorphine,5462504.0,weak heroin metabolite and impurity,,CC(=O)OC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,opioid,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7
4-acetoxy DMT,132988625.0,,,CC(=O)OC1=CC=CC2=C1C(=CN2)CCN(C)C.Cl,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
